areaCode,areaName,tenureCode,tenureType,value2011,value2021
E09000031,Waltham Forest,1,Owned: Owns with a mortgage or loan,28965,29539
E09000031,Waltham Forest,2,Shared ownership: Shared ownership,1018,1700
E09000031,Waltham Forest,3,Social rented: Rents from council or Local Authority,10401,10737
E09000031,Waltham Forest,4,Social rented: Other social rented,10975,11362
E09000031,Waltham Forest,5,Private rented: Private landlord or letting agency,23919,26361
E09000031,Waltham Forest,6,Private rented: Other private rented,1183,2232
E09000031,Waltham Forest,7,Lives rent free,1004,153
E09000032,Wandsworth,0,Owned: Owns outright,24067,24410
E09000032,Wandsworth,1,Owned: Owns with a mortgage or loan,35326,33915
E09000032,Wandsworth,2,Shared ownership: Shared ownership,1911,2509
E09000032,Wandsworth,3,Social rented: Rents from council or Local Authority,16752,16653
E09000032,Wandsworth,4,Social rented: Other social rented,9764,9891
E09000032,Wandsworth,5,Private rented: Private landlord or letting agency,39171,46295
E09000032,Wandsworth,6,Private rented: Other private rented,2146,3535
E09000032,Wandsworth,7,Lives rent free,1356,184
E09000033,Westminster,0,Owned: Owns outright,18692,15213
E09000033,Westminster,1,Owned: Owns with a mortgage or loan,13595,10749
E09000033,Westminster,2,Shared ownership: Shared ownership,885,695
E09000033,Westminster,3,Social rented: Rents from council or Local Authority,12543,12418
E09000033,Westminster,4,Social rented: Other social rented,14805,14392
E09000033,Westminster,5,Private rented: Private landlord or letting agency,39732,36871
E09000033,Westminster,6,Private rented: Other private rented,2217,4194
E09000033,Westminster,7,Lives rent free,3303,284
