areaCode,areaName,tenureCode,tenureType,value
E09000026,Redbridge,5,Private rented: Private landlord or letting agency,21441
E09000026,Redbridge,6,Private rented: Other private rented,1216
E09000026,Redbridge,7,Lives rent free,1173
E09000027,Richmond upon Thames,0,Owned: Owns outright,23756
E09000027,Richmond upon Thames,1,Owned: Owns with a mortgage or loan,26994
E09000027,Richmond upon Thames,2,Shared ownership: Shared ownership,601
E09000027,Richmond upon Thames,3,Social rented: Rents from council or Local Authority,2451
E09000027,Richmond upon Thames,4,Social rented: Other social rented,7600
E09000027,Richmond upon Thames,5,Private rented: Private landlord or letting agency,16410
E09000027,Richmond upon Thames,6,Private rented: Other private rented,1030
E09000027,Richmond upon Thames,7,Lives rent free,993
E09000028,Southwark,0,Owned: Owns outright,11805
E09000028,Southwark,1,Owned: Owns with a mortgage or loan,23525
E09000028,Southwark,2,Shared ownership: Shared ownership,2453
E09000028,Southwark,3,Social rented: Rents from council or Local Authority,37628
E09000028,Southwark,4,Social rented: Other social rented,15016
E09000028,Southwark,5,Private rented: Private landlord or letting agency,26752
E09000028,Southwark,6,Private rented: Other private rented,1741
E09000028,Southwark,7,Lives rent free,1502
E09000029,Sutton,0,Owned: Owns outright,22357
E09000029,Sutton,1,Owned: Owns with a mortgage or loan,30795
E09000029,Sutton,2,Shared ownership: Shared ownership,611
E09000029,Sutton,3,Social rented: Rents from council or Local Authority,6421
E09000029,Sutton,4,Social rented: Other social rented,5001
E09000029,Sutton,5,Private rented: Private landlord or letting agency,11671
E09000029,Sutton,6,Private rented: Other private rented,758
E09000029,Sutton,7,Lives rent free,560
E09000030,Tower Hamlets,0,Owned: Owns outright,8648
E09000030,Tower Hamlets,1,Owned: Owns with a mortgage or loan,15904
E09000030,Tower Hamlets,2,Shared ownership: Shared ownership,2383
E09000030,Tower Hamlets,3,Social rented: Rents from council or Local Authority,17548
E09000030,Tower Hamlets,4,Social rented: Other social rented,22558
E09000030,Tower Hamlets,5,Private rented: Private landlord or letting agency,31227
E09000030,Tower Hamlets,6,Private rented: Other private rented,1737
E09000030,Tower Hamlets,7,Lives rent free,1252
E09000031,Waltham Forest,0,Owned: Owns outright,19396
E09000031,Waltham Forest,1,Owned: Owns with a mortgage or loan,28965
E09000031,Waltham Forest,2,Shared ownership: Shared ownership,1018
E09000031,Waltham Forest,3,Social rented: Rents from council or Local Authority,10401
E09000031,Waltham Forest,4,Social rented: Other social rented,10975
E09000031,Waltham Forest,5,Private rented: Private landlord or letting agency,23919
E09000031,Waltham Forest,6,Private rented: Other private rented,1183
E09000031,Waltham Forest,7,Lives rent free,1004
E09000032,Wandsworth,0,Owned: Owns outright,24067
E09000032,Wandsworth,1,Owned: Owns with a mortgage or loan,35326
E09000032,Wandsworth,2,Shared ownership: Shared ownership,1911
E09000032,Wandsworth,3,Social rented: Rents from council or Local Authority,16752
E09000032,Wandsworth,4,Social rented: Other social rented,9764
E09000032,Wandsworth,5,Private rented: Private landlord or letting agency,39171
E09000032,Wandsworth,6,Private rented: Other private rented,2146
E09000032,Wandsworth,7,Lives rent free,1356
E09000033,Westminster,0,Owned: Owns outright,18692
E09000033,Westminster,1,Owned: Owns with a mortgage or loan,13595
E09000033,Westminster,2,Shared ownership: Shared ownership,885
E09000033,Westminster,3,Social rented: Rents from council or Local Authority,12543
E09000033,Westminster,4,Social rented: Other social rented,14805
E09000033,Westminster,5,Private rented: Private landlord or letting agency,39732
E09000033,Westminster,6,Private rented: Other private rented,2217
E09000033,Westminster,7,Lives rent free,3303
