Lower tier local authorities Code,Lower tier local authorities,Accommodation type (8 categories) Code,Accommodation type (8 categories),Observation
E09000032,Wandsworth,7,"In a commercial building, for example, in an office building, hotel or over a shop",1969
E09000032,Wandsworth,8,A caravan or other mobile or temporary structure,143
E09000033,Westminster,1,Detached,1047
E09000033,Westminster,2,Semi-detached,1735
E09000033,Westminster,3,Terraced,6849
E09000033,Westminster,4,In a purpose-built block of flats or tenement,66514
E09000033,Westminster,5,"Part of a converted or shared house, including bedsits",15302
E09000033,Westminster,6,"Part of another converted building, for example, former school, church or warehouse",1321
E09000033,Westminster,7,"In a commercial building, for example, in an office building, hotel or over a shop",1957
E09000033,Westminster,8,A caravan or other mobile or temporary structure,89
